"expr","time"
"dplyr_bind_rows",4598355
"dplyr_bind_rows",886174
"base_rbind",3251054
"data_table_rbindlist",2128925
"data_table_accumulate_list",1473294
"base_rbind",2966760
"data_table_accumulate_list",68224
"dplyr_bind_rows",980515
"base_rbind",1911912
"data_table_rbindlist",462808
"data_table_accumulate_list",65723
"base_rbind",1501010
"data_table_rbindlist",740583
"dplyr_bind_rows",934103
"accumulate_list",2298460
"base_rbind",2149343
"base_rbind",1761729
"dplyr_bind_rows",876252
"dplyr_bind_rows",738574
"dplyr_bind_rows",737672
"accumulate_list",408442
"accumulate_list",399176
"data_table_accumulate_list",95776
"accumulate_list",410123
"data_table_accumulate_list",75481
"base_rbind",1547832
"accumulate_list",632384
"base_rbind",1266572
"accumulate_list",509425
"accumulate_list",444358
"dplyr_bind_rows",865100
"data_table_accumulate_list",83517
"data_table_rbindlist",702986
"base_rbind",1449432
"data_table_rbindlist",760345
"data_table_rbindlist",509794
"data_table_accumulate_list",70110
"base_rbind",1587315
"dplyr_bind_rows",1032421
"data_table_accumulate_list",83681
"accumulate_list",482611
"accumulate_list",445055
"data_table_rbindlist",472279
"accumulate_list",420578
"data_table_rbindlist",420414
"dplyr_bind_rows",831849
"data_table_rbindlist",542635
"data_table_rbindlist",452025
"data_table_accumulate_list",78474
"data_table_accumulate_list",62566
