"expr","time"
"data.table",170423757
"dplyr_join",39145406
"dplyr_in",31165289
"dplyr_in",28699918
"data.table",699255
"dplyr_join",31674550
"baseR",62584983
"dplyr_in",21243740
"dplyr_join",49543211
"dplyr_join",29133944
"baseR",58615773
"data.table",493189
"dplyr_join",26596495
"data.table",500118
"dplyr_in",18748439
"baseR",59580339
"dplyr_join",48214278
"baseR",61424601
"data.table",535460
"dplyr_join",28213371
"baseR",58301590
"dplyr_in",19337650
"baseR",56946335
"baseR",56196896
"dplyr_join",27277792
"baseR",180059618
"dplyr_in",19543839
"data.table",615451
"dplyr_join",29201799
"data.table",635008
"dplyr_in",18526383
"data.table",530663
"data.table",316110
"dplyr_join",26885299
"data.table",475026
"baseR",39270251
"dplyr_join",50892480
"dplyr_in",24374582
"data.table",1018768
"data.table",302949
"dplyr_join",30728393
"dplyr_in",24969287
"dplyr_join",32608653
"baseR",60064631
"dplyr_in",21992154
"dplyr_in",30135410
"dplyr_join",26796247
"data.table",528736
"dplyr_in",18754548
"dplyr_in",18908544
"data.table",528859
"baseR",63140287
"data.table",708767
"dplyr_join",28090125
"baseR",37344276
"dplyr_in",23214692
"data.table",666824
"dplyr_in",43593537
"baseR",36169995
"dplyr_join",26445574
"dplyr_in",19713907
"dplyr_join",33331606
"dplyr_in",45033580
"baseR",36409230
"dplyr_in",18479192
"data.table",551983
"dplyr_join",26794238
"dplyr_in",18434133
"dplyr_in",39578161
"baseR",36525178
"baseR",56273238
"dplyr_in",19555114
"data.table",519921
"dplyr_join",28474213
"data.table",476666
"dplyr_join",25841234
"baseR",56596400
"dplyr_join",26222288
"dplyr_join",26411503
"dplyr_in",18924903
"dplyr_in",18669432
"dplyr_in",18463735
"dplyr_join",46374977
"baseR",36509721
"baseR",56450850
"dplyr_join",26609451
"dplyr_join",26377842
"dplyr_in",18406417
"dplyr_join",26630402
"baseR",55852045
"dplyr_join",26156032
"dplyr_join",46605315
"data.table",495403
"baseR",36837516
"dplyr_in",19612801
"baseR",56997954
"baseR",56490784
"baseR",56617433
"baseR",57188071
"data.table",507785
"baseR",58078837
"data.table",651818
"data.table",288148
"data.table",266008
"dplyr_join",26735526
"baseR",37037637
"dplyr_in",18923345
"data.table",525989
"baseR",57607788
