"","state","city","zipcode","n_abi","n_abi_any_na_address_line_1","pct_abi_any_na_address_line_1","lon","lat"
"1","AK","ALAKANUK","99554",5,3,60,-164.655467733744,62.6913476663862
"2","AK","ALEKNAGIK","99555",4,2,50,-158.726746848193,59.3034425948057
"3","AK","ALLAKAKET","99720",3,2,66.67,-152.638338508719,66.5520516331348
"4","AK","AMBLER","99786",4,1,25,-157.893636502045,67.0905781470523
"5","AK","ANAKTUVUK PASS","99721",2,2,100,-151.71615191505,68.1499887473319
"6","AK","ANCHORAGE","99501",149,33,22.15,-148.959683740883,61.1579131215486
"7","AK","ANCHORAGE","99504",125,15,12,-148.959683740883,61.1579131215486
"8","AK","ANCHORAGE","99503",88,14,15.91,-148.959683740883,61.1579131215486
"9","AK","ANCHORAGE","99507",129,8,6.2,-148.959683740883,61.1579131215486
"10","AK","ANCHORAGE","99502",49,8,16.33,-148.959683740883,61.1579131215486
"11","AK","ANCHORAGE","99515",79,8,10.13,-148.959683740883,61.1579131215486
"12","AK","ANCHORAGE","99508",139,4,2.88,-148.959683740883,61.1579131215486
"13","AK","ANCHORAGE","99517",37,1,2.7,-148.959683740883,61.1579131215486
"14","AK","ANDERSON","99744",5,1,20,-149.175196177216,64.3091617349129
"15","AK","ATKA","99547",1,1,100,-174.292772841412,52.2881677362597
"16","AK","ATQASUK","99791",1,1,100,-157.365764574452,70.4730172100194
"17","AK","AUKE BAY","99821",3,1,33.33,-134.136294689522,58.4626612403038
"18","AK","BARROW","99723",19,7,36.84,NA,NA
"19","AK","BETHEL","99559",41,17,41.46,-161.802895461363,60.7928038659777
"20","AK","BIG LAKE","99652",14,3,21.43,-150.011788453403,61.5315748851883
"21","AK","CHEVAK","99563",3,1,33.33,-165.597871685988,61.5293132565327
"22","AK","CHIGNIK LAKE","99548",3,2,66.67,-158.8353272059,56.2748802183001
"23","AK","CHUGIAK","99567",36,4,11.11,-148.959683740883,61.1579131215486
"24","AK","CLARKS POINT","99569",1,1,100,-158.521989311862,58.8315276324827
"25","AK","CLEAR","99704",1,1,100,-149.175196177216,64.3091617349129
"26","AK","COOPER LANDING","99572",4,2,50,-149.835695569878,60.5023788372103
"27","AK","CORDOVA","99574",26,1,3.85,-145.615781009461,60.524421146873
"28","AK","CRAIG","99921",22,7,31.82,-133.120235194645,55.4883735051745
"29","AK","DEERING","99736",2,2,100,-162.751907647539,66.0681253192926
"30","AK","DELTA JUNCTION","99737",33,3,9.09,-145.699346658738,64.0682444642924
"31","AK","DENALI NATL PARK","99755",1,1,100,-148.747128951838,63.6052246834782
"32","AK","DILLINGHAM","99576",26,9,34.62,-158.546826463352,59.0641612819368
"33","AK","DOUGLAS","99824",8,2,25,-134.136294689522,58.4626612403038
"34","AK","DUTCH HARBOR","99692",4,1,25,-166.639193262821,53.8837474359399
"35","AK","EAGLE","99738",3,1,33.33,-141.201187143398,64.7807927892305
"36","AK","EAGLE RIVER","99577",93,7,7.53,-148.959683740883,61.1579131215486
"37","AK","ELIM","99739",2,2,100,-162.279556693582,64.6172405917242
"38","AK","ELMENDORF AFB","99506",2,1,50,-148.959683740883,61.1579131215486
"39","AK","FAIRBANKS","99701",151,23,15.23,-147.605121329899,64.8464433002902
"40","AK","FAIRBANKS","99709",91,8,8.79,-147.605121329899,64.8464433002902
"41","AK","FAIRBANKS","99712",30,6,20,-147.605121329899,64.8464433002902
"42","AK","GALENA","99741",4,1,25,-156.840435697323,64.7371966299371
"43","AK","GAMBELL","99742",2,1,50,-171.692148231289,63.7587382397946
"44","AK","GIRDWOOD","99587",6,1,16.67,-148.959683740883,61.1579131215486
"45","AK","GUSTAVUS","99826",4,1,25,-135.78268815496,58.4284844254168
"46","AK","HAINES","99827",23,3,13.04,-135.457098023645,59.241316579673
"47","AK","HEALY","99743",15,2,13.33,-149.141544437263,63.8933096354991
"48","AK","HOMER","99603",52,4,7.69,-151.474270314512,59.652951164478
"49","AK","HOOPER BAY","99604",7,2,28.57,-166.11469575627,61.5307095223128
"50","AK","JUNEAU","99801",90,12,13.33,-134.136294689522,58.4626612403038
"51","AK","JUNEAU","99824",2,1,50,-134.136294689522,58.4626612403038
"52","AK","KAKE","99830",12,4,33.33,-133.905861806836,56.9722538173714
"53","AK","KALSKAG","99607",5,2,40,-160.333356962103,61.5415988107525
"54","AK","KASILOF","99610",6,1,16.67,-151.221016916296,60.3316216161699
"55","AK","KENAI","99611",64,7,10.94,-151.196466456761,60.5660263383175
"56","AK","KETCHIKAN","99901",57,3,5.26,-131.686543748723,55.3588138891526
"57","AK","KIANA","99749",4,1,25,-160.44002570915,66.9730114553689
"58","AK","KING COVE","99612",2,1,50,-162.292657724942,55.0877548173737
"59","AK","KING SALMON","99613",6,1,16.67,-156.48645905397,58.7437903038619
"60","AK","KIPNUK","99614",2,1,50,-164.046450839906,59.9553251576367
"61","AK","KLAWOCK","99925",8,1,12.5,-133.084419044369,55.5554651299664
"62","AK","KODIAK","99615",74,16,21.62,-152.405153593708,57.7942534408815
"63","AK","KOTZEBUE","99752",21,3,14.29,-162.530137301793,66.8643446433582
"64","AK","KOYUKUK","99754",3,1,33.33,-157.714456511518,64.9094730670326
"65","AK","KWIGILLINGOK","99622",2,1,50,-163.188990317856,59.8766084016683
"66","AK","LITTLE DIOMEDE","99762",3,2,66.67,-165.393257165389,64.5178749945452
"67","AK","MANLEY HOT SPGS","99756",1,1,100,-150.64789251162,65.0156575261351
"68","AK","MARSHALL","99585",1,1,100,-162.044776506613,61.8770042297632
"69","AK","MC GRATH","99627",5,2,40,-155.563012354728,62.9423975840027
"70","AK","METLAKATLA","99926",12,4,33.33,-131.56843086354,55.1155823963201
"71","AK","MINTO","99758",3,2,66.67,-149.512684980797,65.1204713245386
"72","AK","MOUNTAIN VILLAGE","99632",3,1,33.33,-163.714473712651,62.0897744858506
"73","AK","NAKNEK","99633",8,5,62.5,-156.898402330394,58.7852373841023
"74","AK","NAPAKIAK","99634",3,2,66.67,-161.987790233841,60.6979041585655
"75","AK","NENANA","99760",12,2,16.67,-149.090267132648,64.5358699246241
"76","AK","NIKISKI","99635",14,3,21.43,-151.222139658259,60.7082803133233
"77","AK","NOATAK","99761",3,1,33.33,-163.059992905302,67.6210685579797
"78","AK","NOME","99762",34,8,23.53,-165.393257165389,64.5178749945452
"79","AK","NORTH POLE","99705",68,9,13.24,-147.361158943934,64.7605608764897
"80","AK","NUIQSUT","99789",3,3,100,-150.989774258925,70.2134929034266
"81","AK","NUNAM IQUA","99666",2,2,100,-164.914076565742,62.5064888299025
"82","AK","PALMER","99645",101,14,13.86,-149.118231644388,61.5976633888071
"83","AK","PETERSBURG","99833",27,2,7.41,-132.873963932719,56.759376827247
"84","AK","PILOT STATION","99650",1,1,100,-162.882787267508,61.9421939143186
"85","AK","POINT HOPE","99766",6,1,16.67,-166.652579577765,68.3411339127943
"86","AK","PORT ALSWORTH","99653",4,1,25,-154.321521721932,60.1746753134144
"87","AK","PORT GRAHAM","99603",3,1,33.33,-151.849803576195,59.3408740873714
"88","AK","QUINHAGAK","99655",3,3,100,-161.90023438189,59.7511217574769
"89","AK","RUSSIAN MISSION","99657",2,1,50,-161.361330152417,61.7815686164237
"90","AK","SCAMMON BAY","99662",4,1,25,-165.583598435957,61.8422702937788
"91","AK","SELAWIK","99770",9,3,33.33,-160.001566729917,66.5982462776642
"92","AK","SEWARD","99664",32,4,12.5,-149.454115329056,60.0869789961827
"93","AK","SHAKTOOLIK","99771",4,1,25,-161.184251312864,64.3484665912596
"94","AK","SHELDON POINT","99666",1,1,100,-164.914076565742,62.5064888299025
