sic_code,sic_desc,classification
866116,ASHRAMS,Hindu Mandir
866102,BIBLE SCHOOLS & STUDY,Christian Church
866121,CHAPLAINS,Interfaith
866122,CHRISTIAN MINISTRIES,Christian Church
866105,CHRISTIAN SCIENCE PRACTITIONERS,Christian Church
866104,CHURCH ORGANIZATIONS,Christian Church
866125,CHURCH CONSULTING,Christian Church
866107,CHURCHES,Interfaith
866106,CLERGY,Interfaith
866117,CONGREGATIONS-MESSIANIC,Jewish Synagogue
866117,CONGREGATIONS-MESSIANIC,Christian Church
866109,CONVENTS & MONASTERIES,Christian Church
866119,DIANETICS,Other
866123,MEDITATION ORGANIZATIONS,Interfaith
866124,MONASTERIES,Interfaith
866114,MOSQUES,Muslim Mosque
866120,PARSONAGES,Christian Church
866108,CLERGY & PASTORAL COUNSELING,Christian Church
866130,SHRINES,Interfaith
866118,RABBIS,Jewish Synagogue
866111,RELIGIOUS COUNSELING,Other
866110,RELIGIOUS ORGANIZATIONS,Other
866115,RELIGIOUS SCIENCE PRACTITIONERS,Other
866101,RETREAT HOUSES,Other
866126,SCIENTOLOGISTS,Other
866113,SPIRITUALISTS,Other
866112,SYNAGOGUES,Jewish Synagogue
866127,MINISTRIES-OUT REACH,Christian Church
866129,MUSIC MINISTRY,Interfaith
866131,PLACE OF WORSHIP-METAPHYSICAL & NEW AGE,Other
866132,PLACES OF WORSHIP-NON THEISTIC,Other
866133,RELIGION OTHER PLACES OF WORSHIP,Other
866103,SPIRITUAL ORGANIZATIONS,Other
866135,PLACES OF WORSHIP,Interfaith
866136,TEMPLES-BUDDHIST,Buddhist Temple
866137,MOSQUES MUSLIM-ISLAMIC CHARITABLE-ORGZTN,Muslim Mosque
866134,PASTORAL COUNSELING OF RELIGIOUS LEADERS,Christian Church
866138,TEMPLES-HINDU,Hindu Mandir
866139,TEMPLES-SIKH,Sikh Gurdwara
866140,TEMPLES-HARE KRISHNA,Hindu Mandir
866141,SYNAGOGUES JEWISH,Jewish Synagogue
866142,SYNAGOGUES ORTHODOX,Jewish Synagogue
866143,SYNAGOGUES TRADITIONAL,Jewish Synagogue
866144,SYNAGOGUES MESSIANIC,Jewish Synagogue
866144,SYNAGOGUES MESSIANIC,Christian Church
821118,TEMPLES BUDDHIST EDUCATIONAL INSTITUTION,Buddhist Temple
